E_low_eV,E_high_eV,E_mid_eV,flux_mean,flux_std
4.1118294024e+02,4.3560990307e+02,4.2322022724e+02,1.6740897286e-02,1.1157505689e-04
4.3560990307e+02,4.6148798766e+02,4.4836228384e+02,1.7496796389e-02,1.3196037818e-04
4.6148798766e+02,4.8890340016e+02,4.7499794347e+02,1.7505235514e-02,1.1770116417e-04
4.8890340016e+02,5.1794746792e+02,5.0321593593e+02,1.7738906295e-02,1.1078042109e-04
5.1794746792e+02,5.4871694376e+02,5.3311026217e+02,1.8620509029e-02,1.2724761896e-04
5.4871694376e+02,5.8131432822e+02,5.6478050741e+02,1.8793830486e-02,1.0516619176e-04
5.8131432822e+02,6.1584821107e+02,5.9833217288e+02,1.9024209311e-02,1.1352059441e-04
6.1584821107e+02,6.5243363299e+02,6.3387702728e+02,1.9570807122e-02,1.4118237627e-04
6.5243363299e+02,6.9119246888e+02,6.7153347911e+02,1.9692694416e-02,1.2783102124e-04
6.9119246888e+02,7.3225383376e+02,7.1142697110e+02,2.0579572819e-02,1.2674808732e-04
7.3225383376e+02,7.7575451296e+02,7.5369039809e+02,2.0779429186e-02,1.1925233602e-04
7.7575451296e+02,8.2183941775e+02,7.9846454977e+02,2.1091575764e-02,1.1914059559e-04
8.2183941775e+02,8.7066206806e+02,8.4589857966e+02,2.1873303675e-02,1.1388882398e-04
8.7066206806e+02,9.2238510394e+02,8.9615050195e+02,2.2148323639e-02,1.3007576758e-04
9.2238510394e+02,9.7718082730e+02,9.4938771793e+02,2.2503120857e-02,1.3289872498e-04
9.7718082730e+02,1.0352317759e+03,1.0057875736e+03,2.2979607299e-02,1.4089319941e-04
1.0352317759e+03,1.0967313316e+03,1.0655379506e+03,2.3620543127e-02,1.2362228132e-04
1.0967313316e+03,1.1618843641e+03,1.1288378917e+03,2.3862509687e-02,1.4361575816e-04
1.1618843641e+03,1.2309079139e+03,1.1958982644e+03,2.4448076622e-02,1.2808235536e-04
1.2309079139e+03,1.3040319152e+03,1.2669424629e+03,2.5045721172e-02,1.3329235915e-04
1.3040319152e+03,1.3814999616e+03,1.3422071527e+03,2.5502242832e-02,1.3969349810e-04
1.3814999616e+03,1.4635701180e+03,1.4219430586e+03,2.6205139542e-02,1.2728897513e-04
1.4635701180e+03,1.5505157798e+03,1.5064158001e+03,2.6702148422e-02,1.5369227342e-04
1.5505157798e+03,1.6426265841e+03,1.5959067764e+03,2.7359439785e-02,1.2578356968e-04
1.6426265841e+03,1.7402093741e+03,1.6907141035e+03,2.7897630748e-02,1.4156059940e-04
1.7402093741e+03,1.8435892216e+03,1.7911536074e+03,2.8589986260e-02,1.4821774447e-04
1.8435892216e+03,1.9531105100e+03,1.8975598765e+03,2.9108770890e-02,1.7418397786e-04
1.9531105100e+03,2.0691380811e+03,2.0102873757e+03,2.9870053705e-02,1.5594668049e-04
2.0691380811e+03,2.1920584507e+03,2.1297116275e+03,3.0550677123e-02,1.4439726824e-04
2.1920584507e+03,2.3222810963e+03,2.2562304630e+03,3.1188387612e-02,1.3998580918e-04
2.3222810963e+03,2.4602398209e+03,2.3902653468e+03,3.1236211085e-02,1.3675803814e-04
2.4602398209e+03,2.6063941983e+03,2.5322627817e+03,3.1023257859e-02,1.8675364241e-04
2.6063941983e+03,2.7612311041e+03,2.6826957953e+03,3.1284728405e-02,1.4330241488e-04
2.7612311041e+03,2.9252663374e+03,2.8420655163e+03,3.1745247968e-02,1.4158995283e-04
2.9252663374e+03,3.0990463392e+03,3.0109028437e+03,3.2416192995e-02,1.5515747930e-04
3.0990463392e+03,3.2831500126e+03,3.1897702155e+03,3.3513935097e-02,1.6417337232e-04
3.2831500126e+03,3.4781906513e+03,3.3792634820e+03,3.4596974075e-02,1.4193542437e-04
3.4781906513e+03,3.6848179829e+03,3.5800138910e+03,3.5122174211e-02,1.5380908121e-04
3.6848179829e+03,3.9037203329e+03,3.7926901907e+03,3.5988713503e-02,1.5699817749e-04
3.9037203329e+03,4.1356269178e+03,4.0180008572e+03,3.6667556350e-02,1.8116048299e-04
4.1356269178e+03,4.3813102745e+03,4.2566964546e+03,3.7889397023e-02,1.6095878329e-04
4.3813102745e+03,4.6415888336e+03,4.5095721357e+03,3.8295181806e-02,1.6455040766e-04
4.6415888336e+03,4.9173296458e+03,4.7774702903e+03,3.9236898720e-02,1.7316821069e-04
4.9173296458e+03,5.2094512703e+03,5.0612833520e+03,4.0120000742e-02,1.4962419837e-04
5.2094512703e+03,5.5189268347e+03,5.3619567706e+03,4.1434803085e-02,1.8252492363e-04
