E_low_eV,E_high_eV,E_mid_eV,flux_mean,flux_std
5.1794746792e+02,5.4871694376e+02,5.3311026217e+02,1.8701120612e-02,1.2280722068e-04
5.4871694376e+02,5.8131432822e+02,5.6478050741e+02,1.9039654148e-02,1.3895862618e-04
5.8131432822e+02,6.1584821107e+02,5.9833217288e+02,1.9309066037e-02,1.3279173745e-04
6.1584821107e+02,6.5243363299e+02,6.3387702728e+02,1.9868258763e-02,1.2978914364e-04
6.5243363299e+02,6.9119246888e+02,6.7153347911e+02,2.0166827576e-02,1.2532282494e-04
6.9119246888e+02,7.3225383376e+02,7.1142697110e+02,2.0734470488e-02,1.3106692275e-04
7.3225383376e+02,7.7575451296e+02,7.5369039809e+02,2.1057413972e-02,1.3768950061e-04
7.7575451296e+02,8.2183941775e+02,7.9846454977e+02,2.1271915893e-02,1.1699941233e-04
8.2183941775e+02,8.7066206806e+02,8.4589857966e+02,2.1760657820e-02,1.1771196404e-04
8.7066206806e+02,9.2238510394e+02,8.9615050195e+02,2.2498739296e-02,1.3584538729e-04
9.2238510394e+02,9.7718082730e+02,9.4938771793e+02,2.2698767502e-02,1.3869254314e-04
9.7718082730e+02,1.0352317759e+03,1.0057875736e+03,2.3263350970e-02,1.5064414350e-04
1.0352317759e+03,1.0967313316e+03,1.0655379506e+03,2.3706695027e-02,1.2782488643e-04
1.0967313316e+03,1.1618843641e+03,1.1288378917e+03,2.4298815280e-02,1.3928133129e-04
1.1618843641e+03,1.2309079139e+03,1.1958982644e+03,2.4581776563e-02,1.3918968485e-04
1.2309079139e+03,1.3040319152e+03,1.2669424629e+03,2.5335928115e-02,1.3335240609e-04
1.3040319152e+03,1.3814999616e+03,1.3422071527e+03,2.5478582045e-02,1.4080635651e-04
1.3814999616e+03,1.4635701180e+03,1.4219430586e+03,2.6459131309e-02,1.2849422795e-04
1.4635701180e+03,1.5505157798e+03,1.5064158001e+03,2.7051964353e-02,1.3418829952e-04
1.5505157798e+03,1.6426265841e+03,1.5959067764e+03,2.7632506931e-02,1.3342593333e-04
1.6426265841e+03,1.7402093741e+03,1.6907141035e+03,2.7961352035e-02,1.4176802213e-04
1.7402093741e+03,1.8435892216e+03,1.7911536074e+03,2.9054079736e-02,1.6068387670e-04
1.8435892216e+03,1.9531105100e+03,1.8975598765e+03,2.9477847703e-02,1.5523695551e-04
1.9531105100e+03,2.0691380811e+03,2.0102873757e+03,3.0178950640e-02,1.7252120180e-04
2.0691380811e+03,2.1920584507e+03,2.1297116275e+03,3.1094440169e-02,1.5697161897e-04
2.1920584507e+03,2.3222810963e+03,2.2562304630e+03,3.1390489274e-02,1.4881396241e-04
2.3222810963e+03,2.4602398209e+03,2.3902653468e+03,3.1438823750e-02,1.4595017156e-04
2.4602398209e+03,2.6063941983e+03,2.5322627817e+03,3.1402788162e-02,1.6033236984e-04
2.6063941983e+03,2.7612311041e+03,2.6826957953e+03,3.1704785539e-02,1.5875569553e-04
2.7612311041e+03,2.9252663374e+03,2.8420655163e+03,3.2247580397e-02,1.6974767787e-04
2.9252663374e+03,3.0990463392e+03,3.0109028437e+03,3.2652411999e-02,1.4038329428e-04
3.0990463392e+03,3.2831500126e+03,3.1897702155e+03,3.3821123365e-02,1.5034716037e-04
3.2831500126e+03,3.4781906513e+03,3.3792634820e+03,3.4529271900e-02,1.6309733534e-04
3.4781906513e+03,3.6848179829e+03,3.5800138910e+03,3.5378513104e-02,1.9013359486e-04
3.6848179829e+03,3.9037203329e+03,3.7926901907e+03,3.6327116048e-02,1.6748875694e-04
3.9037203329e+03,4.1356269178e+03,4.0180008572e+03,3.6928615650e-02,1.7212613067e-04
4.1356269178e+03,4.3813102745e+03,4.2566964546e+03,3.8176414586e-02,2.0741475653e-04
4.3813102745e+03,4.6415888336e+03,4.5095721357e+03,3.8755109423e-02,1.6812940635e-04
4.6415888336e+03,4.9173296458e+03,4.7774702903e+03,3.9453759565e-02,1.8687836759e-04
4.9173296458e+03,5.2094512703e+03,5.0612833520e+03,4.0797276573e-02,1.8110439553e-04
5.2094512703e+03,5.5189268347e+03,5.3619567706e+03,4.1389896700e-02,1.8031068419e-04
5.5189268347e+03,5.8467872769e+03,5.6804921617e+03,4.2360669995e-02,1.8505172136e-04
5.8467872769e+03,6.1941247793e+03,6.0179506438e+03,4.3415573971e-02,1.6761065544e-04
6.1941247793e+03,6.5620964068e+03,6.3754563725e+03,4.4332754229e-02,1.9965440870e-04
6.5620964068e+03,6.9519279618e+03,6.7542002856e+03,4.4561114502e-02,2.0908615292e-04
6.9519279618e+03,7.3649180673e+03,7.1554440707e+03,4.5545427574e-02,2.0472924721e-04
7.3649180673e+03,7.8024424932e+03,7.5805243676e+03,4.6916706565e-02,1.8462819844e-04
7.8024424932e+03,8.2659587388e+03,8.0308572214e+03,4.7952146910e-02,2.1404882596e-04
